5,child in a pink dress is climbing up a set of stairs in an entry way .
3,girl going into a wooden building .
3,little girl climbing into a wooden playhouse .
2,little girl climbing the stairs to her playhouse .
3,little girl in a pink dress going into a wooden cabin .
4,black dog and a spotted dog are fighting
4,black dog and a tri-colored dog playing with each other on the road .
4,black dog and a white dog with brown spots are staring at each other in the street .
2,dogs of different breeds looking at each other on the road .
2,dogs on pavement moving toward each other .
5,little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .
3,little girl is sitting in front of a large painted rainbow .
5,small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .
5,is a girl with pigtails sitting in front of a rainbow painting .
9,girl with pigtails painting outside in the grass .
8,man lays on a bench while his dog sits by him .
4,man lays on the bench to which a white dog is also tied .
7,man sleeping on a bench outside with a white and black dog sitting next to him .
8,shirtless man lies on a park bench with his dog .
8,laying on bench holding leash of dog sitting on ground
2,man in an orange hat starring at something .
2,man wears an orange hat and glasses .
0,man with gauges and glasses is wearing a Blitz hat .
0,man with glasses is wearing a beer can crocheted hat .
2,man with pierced ears is wearing glasses and an orange hat .
8,child playing on a rope net .
2,little girl climbing on red roping .
3,little girl in pink climbs a rope bridge at the park .
1,small child grips onto the red ropes at the playground .
8,small child climbs on a red ropes on a playground .
5,black and white dog is running in a grassy garden surrounded by a white fence .
4,black and white dog is running through the grass .
9,Boston terrier is running in the grass .
8,Boston Terrier is running on lush green grass in front of a white fence .
8,dog runs on the green grass near a wooden fence .
4,dog shakes its head near the shore , a red ball next to it .
4,white dog shakes on the edge of a beach with an orange ball .
2,with orange ball at feet , stands on shore shaking off water
1,dog playing with a red ball on the shore near the water .
4,dog with brown ears standing near water with head turned to one side .
5,boy smiles in front of a stony wall in a city .
8,little boy is standing on the street while a man in overalls is working on a stone wall .
2,young boy runs aross the street .
7,young child is walking on a stone paved street with a metal pole and a man behind him .
9,boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .
4,black dog leaps over a log .
4,grey dog is leaping over a fallen tree .
4,large black dog leaps a fallen log .
5,mottled black and grey dog in a blue collar jumping over a fallen tree .
4,black dog jumped the tree stump .
4,brown and white dog is running through the snow .
9,dog is running in the snow
4,dog running through snow .
4,white and brown dog is running through a snow covered field .
1,white and brown dog is running over the surface of the snow .
5,man in a hat is displaying pictures next to a skier in a blue hat .
9,man skis past another man displaying paintings in the snow .
9,person wearing skis looking at framed pictures set up in the snow .
9,skier looks at framed pictures in the snow next to trees .
9,on skis looking at artwork for sale in the snow
0,collage of one person climbing a cliff .
8,group of people are rock climbing on a rock climbing wall .
0,group of people climbing a rock while one man belays
0,climbers are ascending a rock face whilst another man stands holding the rope .
1,climbers in a row are climbing the rock while the man in red watches and holds the line .
7,brown dog chases the water from a sprinkler on a lawn .
4,brown dog plays with the hose .
7,brown dog running on a lawn near a garden hose
4,dog is playing with a hose .
1,brown dog running away from the sprinkler in the grass .
5,dog prepares to catch a thrown object in a field with nearby cars .
4,white dog is about to catch a yellow ball in its mouth .
